,ID expérience,Etat expérience,Statut de l'expérience,Date de publication,Titre,Description,Posté comme,Ressenti usager,Code INSEE Département usager,Intitulé département usager,Intitulé région usager,Code INSEE Région usager,Pays,Intitulé Typologie 1,Code Postal typologie 1,Pays Typologie  1,Canaux Typologie 1,Intitulé Typologie 2,Code Postal typologie 2,Pays Typologie 2,Canaux Typologie 2,Intitulé Typologie 3,Code Postal typologie 3,Pays Typologie 3,Canaux Typologie 3,Hors structure,ID structure 1,Intitulé structure 1,Evaluation utile réponse structure 1 par visiteurs,Evaluation inutile réponse structure 1 par visiteurs,Evaluation  réponse structure 1 par auteur,ID structure 2,Intitulé structure 2,ID structure 3,Intitulé structure  3,Accessibilité,Information/Explication,Relation,Réactivité,Simplicité/Complexité,Expériences Similaires,Amélioration de service à considérer,Action,Date action réalisée,Date action engagée,Tags Métiers,eval,sentiment_eval
0,2904756,A traiter,Expérience en attente de réponse,06/10/2022 15:07,Vote à l'étranger,"Magie de l'internet pour personnes éloignées de tous. Les services administratifs sont de plus en plus facile d'accès et aussi plus ludiques comme la CAF, les Impôts, la Retraite et ici l'ambassade. Tout cela sur mon téléphone.",La personne concernée,Positif,,,,,Madagascar,Réseau consulaire,,France,Démarche en ligne,,,,,,,,,Non,hcxcV5NcXy,Direction des Français à l'étranger et de l'administration consulaire,0,0,,,,,,Positif,,,,Positif,0,Non,,,,,4,Positif
1,270656,A traiter,Expérience en attente de réponse,23/09/2020 09:47,Accueil préfecture de la Savoie,BonjourIl y a une semaine j'ai accompagné une amie de nationalité congolaise.Je voudrais dire ma satisfaction sur l'accueil de la personne au guichet.Elle a pris le temps de lui expliquer la démarche.Cordialement.,Un proche de la personne concernée,Positif,,,,,France,Préfecture,73000.0,France,Accueil,,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,,Positif,Positif,,,0,Non,,,,,3,Positif
2,388869,A traiter,Expérience en attente de réponse,23/12/2021 17:30,Un premier contact difficile,"Je souhaitais renouveler ma carte didentité. Pendant un certain temps jai cherché à trouver un rendez-vous sur le site du consulat. Aucun créneau disponible. Jai donc appelé le consulat et la personne au téléphone ma indiqué les heures propices à prendre un rendez-vous. Jai pu enfin prendre ce rendez-vous et toute la suite sest correctement déroulée. Jen conclus que le système de prise de rendez-vous est peu pratique et quil ny a pas assez de créneaux ouverts, ou que louverture de nouveaux créneaux devrait se faire plus fréquemment. Par la suite tout sest passé assez rapidement. Cependant, le fait davoir à appeler a certainement causé du travail supplémentaire à la personne qui ma répondu, travail qui a donc impacté son temps disponible pour dautres personnes.",La personne concernée,Neutre,,,,,France,Réseau consulaire,,,"Démarche en ligne,Téléphone",,,,,,,,,Non,pywqGdcP3p,Consulat Général de France à Francfort-sur-le-Main,0,0,,,,,,Négatif,,,Positif,,0,Non,,,,,2,Neutre
3,2904833,A traiter,Expérience en attente de réponse,06/10/2022 15:17,vote en ligne,J'ai pu voter en ligne en tant que Française de l'étranger pour les élections législatives ça m'a pris 15 minutes au 1er tour et 30 minutes au 2ème tour (j'avais pas eu l'identifiant et j'avais oublié le NUMIC donc j'ai dû le récupérer) SUPER cela m'a éviter 4 heures de route du Hampshire à Wembley à Londres SVP le vote internet pour les présidentielles en tout cas je recommande à tous mes compatriotes vivant à l'étranger d'essayer de voter en ligne c'est faisable et ça vous éviter des embouteillages et une satisfaction personnelle un grand merci à nos compatriotes qui ont mis le système par internet en place,La personne concernée,Positif,,,,,Royaume-uni,Réseau consulaire,,,Démarche en ligne,,,,,,,,,Non,UxV8t3S3UY,Consulat Général de France à Londres,0,0,,,,,,Positif,,,Positif,Positif,0,Non,,,,,4,Positif
4,396504,A traiter,Expérience en attente de réponse,01/03/2022 18:13,Renouvellement de passeport,"Renouvellement du passeport: accueil sympathique et serviabilité pour le maniement du photomaton ( je ne vois rien sans lunettes).
Merci pour ce service à Zurich.",La personne concernée,Positif,,,,,Suisse,Réseau consulaire,,,"Accueil,Démarche en ligne",,,,,,,,,Non,Ux9sVMjDqb,Consulat Général de France à Zurich,0,0,,,,,,Positif,,Positif,,,0,Non,,,,,3,Positif
5,279101,Traitées,Expérience avec réponse,26/10/2019 23:44,AAH et là Retraite,"J'ai 47 trimestres reconnus mais je suis 1 papa qui s'est occupé de ses enfants depuis 12 ans. Je suis adulte handicapé depuis juillet 2018 , La Caf m'a renvoyé à la retraite sans me payer 1 seul jour de mon AAH ,Ma retraite de base Est de 198,25 et 34 pour ma complémentaire ( trop peu ) et j'ai fait une demande d'une aide aux personnes âgés que jattends toujours alors que la Caf  m'a coupé le RSA en attendant. Donc pour Novembre, je toucherai que 198,25 et 34 plus 115 de soutien familiale.",La personne concernée,Neutre,,,,,France,CAF,,,,Carsat,,,,,,,,Non,4H9rYvQqqb,CARSAT Rhône-Alpes,0,0,,,,,,Négatif,,,,,0,Non,,,,,0,Négatif
6,269519,A traiter,Expérience en attente de réponse,23/07/2021 13:10,"Une expérience rapide, amicale et efficace.",J'avais besoin d'obtenir une copie certifiée d'un document pour l'achat d'une propriété. J'ai pu obtenir un rendez-vous à la mairie de Vannes le jour même de mon appel. Le personnel sur place était amical et serviable et m'a donné une impression positive de la manière dont les services publics peuvent interagir avec les citoyens.,La personne concernée,Positif,56.0,Morbihan,Bretagne,53.0,France,Collectivités territoriales - Communes,56000.0,,"Téléphone,Accueil",,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,Positif,,Positif,,,0,Non,,,,,4,Positif
7,389786,A traiter,Expérience en attente de réponse,27/12/2021 14:56,Renouvellement de passeports aux USA,"Actuellement aux USA suite à une mutation professionnelle pour Philadelphie, nous avons renouvelé nos passeports Français à lambassade de France à Washington. Malgré la situation sanitaire (Covid-19) nous avons fait les démarches avec laide des services du consulat (envoyé un courriel et lambassade nous a téléphoné) et quelques semaines après nos rendez-vous, nous avons bien reçu les passeports. Les informations étaient claires sur le site internet.",La personne concernée,Positif,,,,,États-unis,Réseau consulaire,,,"Accueil,E-mail,Téléphone,Démarche en ligne",,,,,,,,,Non,OHojA1usug,Consulat Général de France à Washington,0,0,,,,,,Positif,Positif,,,,0,Non,,,,,4,Positif
8,3475415,A traiter,Expérience en attente de réponse,16/03/2023 10:39,UTILISATION DE CHORUS PRO,"L'utilisation du portail CHORUS PRO, pour le dépot des factures, est difficile. Je ne peux pas y accéder, j'ai toujours un message qui me dit "" des contraintes de sécurité empechent l'accès"".
Si je ne peux pas faire le dépôt des factures, elles ne seront pas payées, et comme tout un chacun, tout travail mérite salaire.
Bien cordialement",La personne concernée,Neutre,44.0,Loire-Atlantique,Pays de la Loire,52.0,France,Chorus Pro,,,Démarche en ligne,,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,Négatif,,,,,1,Non,,,,Fonctionnement du site,1,Négatif
9,565127,A traiter,Expérience en attente de réponse,01/06/2022 12:43,Demandes des dates de chaque injection lors d'une escale à Singapour,On nous a retenu pendant 1h car les dates des 2 premières injections ne figuraient pas sur le certificat européen. Ça ne devrait pas être trop difficile de faire figurer toutes les dates,La personne concernée,Neutre,68.0,Haut-Rhin,Grand Est,44.0,France,Tous Anti Covid,,,Démarche en ligne,,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,,Négatif,,,Négatif,0,Non,,,,,1,Négatif
