Index;Adresse;Auteur;Date;Note;Commentaire
1;Gendarmerie Nationale 171 av de Grammont 37000 TOURS;brainn _103;il y a un an;5;Quand j'etais partie a la brigade pour leur demander un cusson pour ma collection le Colonel m'en avait donner un cusson merci lui
2;Gendarmerie Nationale 171 av de Grammont 37000 TOURS;Amandine Le Monnier;il y a 2 ans;1;Comment dire probleme de voisinage un dimanche apres-midi  N'appelez pas la gendarmerie souffle au telephone pas de patrouille disponible Surement un manque de personnel On sens que notre pbl est mineur on est sur du principe de 
3;Gendarmerie Nationale 171 av de Grammont 37000 TOURS;Jerome Pradere;il y a 2 ans;5;
2;Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON;Oualid I??en;il y a 8 mois;5;
3;Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON;thierry batier;il y a 2 ans;4;
4;Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON;Stanislas Fedor;il y a 2 ans;4;
1;Gendarmerie Nationale 7 rue Charlier 36000 CHATEAUROUX;Jules Trompeau;il y a 9 mois;1;
2;Gendarmerie Nationale 7 rue Charlier 36000 CHATEAUROUX;Andrea Taubert;il y a un an;5;
1;Gendarmerie Nationale 33 rue du Colonel Arnaud Beltrame 89000 AUXERRE;Stef _;il y a un an;5;
2;Gendarmerie Nationale 33 rue du Colonel Arnaud Beltrame 89000 AUXERRE;St�phane Gandour;il y a 2 ans;5;
1;Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE;Alexandre Ramos;il y a 6 jours;5;
2;Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE;gregory lamy;il y a 3 mois;5;
3;Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE;Killian Gaillard;il y a un an;5;tres bien renseignements sur le recrutement la vie de gendarme et l avenir dans le metier tres clair 
4;Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE;Simon Lemoine;il y a un an;5;
