Index, Adresse_complète                                                          , Auteur                                     , Date              , Note, Commentaire                                                                                                                                                                                                                                                                                                             , lat    , lng    , Ville
1    , Gendarmerie Nationale 171 av de Grammont 37000 TOURS                      , brainn _103                                , il y a un an      , 5   , Quand jetait partie a la brigade pour leur demander un cusson pour ma collection le Colonel men avait donner un cusson merci  lui                                                                                                                                                                                       , 47.3936, 0.6892 , TOURS
2    , Gendarmerie Nationale 171 av de Grammont 37000 TOURS                      , Amandine Le Monnier                        , il y a 2 ans      , 1   , Comment dire problme de voisinage un dimanche aprsmidi  Nappelez pas la gendarmerie souffle au tlphone pas de patrouille disponible Srement un manque de personnel On sens que notre pbl est mineur on est sur du principe de                                                                                           , 47.3936, 0.6892 , TOURS
3    , Gendarmerie Nationale 171 av de Grammont 37000 TOURS                      , Jerome Pradere                             , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         , 47.3936, 0.6892 , TOURS
4    , Gendarmerie Nationale 171 av de Grammont 37000 TOURS                      , Joël Béry                                  , il y a 2 ans      , 5   , Mon lieu de travail pendant 18 annes                                                                                                                                                                                                                                                                                    , 47.3936, 0.6892 , TOURS
5    , Gendarmerie Nationale 171 av de Grammont 37000 TOURS                      , P Y                                        , il y a 2 ans      , 5   , Disparition knquietqnt fr cathrrine fontugne                                                                                                                                                                                                                                                                            , 47.3936, 0.6892 , TOURS
1    , Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON               , Samy RUOKNA                                , il y a 7 mois     , 3   , Je peux rien dire moi jai jamais visit Et jespre que jamais je naurai  le faire                                                                                                                                                                                                                                         ,        ,        , LAON
2    , Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON               , Oualid Iǧǧen                               , il y a 8 mois     , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , LAON
3    , Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON               , thierry batier                             , il y a 2 ans      , 4   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , LAON
4    , Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON               , Stanislas Fedor                            , il y a 2 ans      , 4   , Trs bonne surprise  la suite dun dpassement dun bus de tourisme jai titiller la pdale de droiteet ce fut sans surprise que jai appercu dans mon rtroviseurs intrieur deux magnifiques motos dot de gyrophare bleu je me suis                                                                                            ,        ,        , LAON
1    , Gendarmerie Nationale 7 rue Charlier 36000 CHATEAUROUX                    , Jules Trompeau                             , il y a 9 mois     , 1   , Des vrai cowboy qui mon arrtez                                                                                                                                                                                                                                                                                          , 46.8103, 1.6911 , CHATEAUROUX
2    , Gendarmerie Nationale 7 rue Charlier 36000 CHATEAUROUX                    , Andrea Taubert                             , il y a un an      , 5   , Me faire arrter aujourdhui  Ardentes et rencontrer des jeunes gendarmes bienveillants et sympa voil a cest fait                                                                                                                                                                                                         , 46.8103, 1.6911 , CHATEAUROUX
1    , Gendarmerie Nationale 33 rue du Colonel Arnaud Beltrame 89000 AUXERRE     , Stef _                                     , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , AUXERRE
2    , Gendarmerie Nationale 33 rue du Colonel Arnaud Beltrame 89000 AUXERRE     , Stéphane Gandour                           , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , AUXERRE
1    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , Alexandre Ramos                            , il y a 6 jours    , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.6045, 1.444  , TOULOUSE
1    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , Alexandre Ramos                            , il y a 6 jours    , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.6045, 1.444  , TOULOUSE
2    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , gregory lamy                               , il y a 3 mois     , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.6045, 1.444  , TOULOUSE
2    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , gregory lamy                               , il y a 3 mois     , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.6045, 1.444  , TOULOUSE
3    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , Killian Gaillard                           , il y a un an      , 5   , Trs bien reuRenseignements sur le recrutement la vie de gendarme et lavenir dans le mtier trs clair                                                                                                                                                                                                                     , 43.6045, 1.444  , TOULOUSE
3    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , Killian Gaillard                           , il y a un an      , 5   , Trs bien reuRenseignements sur le recrutement la vie de gendarme et lavenir dans le mtier trs clair                                                                                                                                                                                                                     , 43.6045, 1.444  , TOULOUSE
4    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , Simon Lemoine                              , il y a un an      , 5   , Trs bien accueilli et renseign                                                                                                                                                                                                                                                                                          , 43.6045, 1.444  , TOULOUSE
4    , Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE                    , Simon Lemoine                              , il y a un an      , 5   , Trs bien accueilli et renseign                                                                                                                                                                                                                                                                                          , 43.6045, 1.444  , TOULOUSE
1    , Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY            , Charlelie Blache                           , il y a 9 mois     , 2   , Arrter en trottinette lectrique sans motif apparentAucune explication fournie sur les circonstances de linterpellationTest dalcoolmie et de drogue ralis sur place par 8 degrs en extrieur eux                                                                                                                          ,        ,        , LE PUY EN VELAY
2    , Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY            , Matthis Charrat                            , il y a un an      , 5   , Personnel sympathique comprhensibleMerci  tous les gendarmes                                                                                                                                                                                                                                                            ,        ,        , LE PUY EN VELAY
3    , Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY            , Jean-luc Sabatier                          , il y a 2 ans      , 5   , Personnels sympatiques                                                                                                                                                                                                                                                                                                  ,        ,        , LE PUY EN VELAY
4    , Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY            , Stéphane Gandour                           , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , LE PUY EN VELAY
1    , Gendarmerie Nationale 2 rue Albert Bettannier 57000 METZ                  , Bernard Challamel                          , il y a un an      , 4   , Bon accueil                                                                                                                                                                                                                                                                                                             , 49.1203, 6.1778 , METZ
2    , Gendarmerie Nationale 2 rue Albert Bettannier 57000 METZ                  , Arthur Medemblik                           , il y a un an      , 5   , Des gendarmes trs humains et intresss nous ont permis de travailler sur notre projet Formula Student de la Metz Racing Team pendant prs dun mois tout le monde tait trs sympathique aidants et motivs  nous aider  bientt                                                                                               , 49.1203, 6.1778 , METZ
3    , Gendarmerie Nationale 2 rue Albert Bettannier 57000 METZ                  , Tiffany Tmsi                               , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         , 49.1203, 6.1778 , METZ
1    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , Laura Weibel                               , il y a 10 mois    , 1   ,                                                                                                                                                                                                                                                                                                                         , 45.57  , 5.9118 , CHAMBERY
2    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , Roger Coulaud                              , il y a 11 mois    , 5   , Agents de ltat trs polie  a lcoute des personnes                                                                                                                                                                                                                                                                        , 45.57  , 5.9118 , CHAMBERY
3    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , Didier NAUZE                               , il y a 11 mois    , 5   , Service hyper comptent et un accueil trs chaleureux pour les victimes Venez ici pour dposer plainte plutt quau commissariat de police                                                                                                                                                                                   , 45.57  , 5.9118 , CHAMBERY
4    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , fanny Monnot picard                        , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         , 45.57  , 5.9118 , CHAMBERY
5    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , Tom                                        , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         , 45.57  , 5.9118 , CHAMBERY
6    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , galaway74                                  , il y a 2 ans      , 1   ,                                                                                                                                                                                                                                                                                                                         , 45.57  , 5.9118 , CHAMBERY
7    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , FREDERIC CONAN                             , il y a 2 ans      , 1   , Jai faillit me faire renverser par une voiture devant 3 gendarmes ils ont pris la dfense du conducteur et mont dit que cest une petite erreure de la part du conducteur BRAVO les gendarmes  Si ctait un des leurs qui aurait t  ma                                                                                     , 45.57  , 5.9118 , CHAMBERY
8    , Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY                     , Jerome Pradere                             , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         , 45.57  , 5.9118 , CHAMBERY
