Index_x,Adresse_complète,Auteur,Date_x,Note_x,Commentaire_x,lat,lng,Ville,Unnamed: 0,Description,Intitulé de la structure,desc,desc_clean,Index_y,Date_y,Note_y,Commentaire_y,subject_number,subject_name
1.0,Gendarmerie Nationale 171 av de Grammont 37000 TOURS,brainn _103,il y a un an,5.0,Quand jetait partie a la brigade pour leur demander un cusson pour ma collection le Colonel men avait donner un cusson merci  lui,47.3936,0.6892,TOURS,,,,,,,,,,,
2.0,Gendarmerie Nationale 171 av de Grammont 37000 TOURS,Amandine Le Monnier,il y a 2 ans,1.0,Comment dire problme de voisinage un dimanche aprsmidi  Nappelez pas la gendarmerie souffle au tlphone pas de patrouille disponible Srement un manque de personnel On sens que notre pbl est mineur on est sur du principe de ,47.3936,0.6892,TOURS,126.0,Comment dire probleme de voisinage un dimanche apres-midi  N'appelez pas la gendarmerie souffle au telephone pas de patrouille disponible Surement un manque de personnel On sens que notre pbl est mineur on est sur du principe de ,,comment dire probleme voisinage dimanche apres midi appelez pas gendarmerie souffle telephone pas patrouille disponible surement manque personnel sens que notre pbl est mineur est sur principe,voisinag appel patrouill manqu personnel sen mineur,2.0,il y a 2 ans,1.0,Comment dire probleme de voisinage un dimanche apres-midi  N'appelez pas la gendarmerie souffle au telephone pas de patrouille disponible Surement un manque de personnel On sens que notre pbl est mineur on est sur du principe de ,1.0,appel_intervention
3.0,Gendarmerie Nationale 171 av de Grammont 37000 TOURS,Jerome Pradere,il y a 2 ans,5.0,,47.3936,0.6892,TOURS,,,,,,,,,,,
4.0,Gendarmerie Nationale 171 av de Grammont 37000 TOURS,Joël Béry,il y a 2 ans,5.0,Mon lieu de travail pendant 18 annes  ,47.3936,0.6892,TOURS,,,,,,,,,,,
5.0,Gendarmerie Nationale 171 av de Grammont 37000 TOURS,P Y,il y a 2 ans,5.0,Disparition knquietqnt fr cathrrine fontugne,47.3936,0.6892,TOURS,,,,,,,,,,,
1.0,Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON,Samy RUOKNA,il y a 7 mois,3.0,Je peux rien dire moi jai jamais visit Et jespre que jamais je naurai  le faire,,,LAON,,,,,,,,,,,
2.0,Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON,Oualid Iǧǧen,il y a 8 mois,5.0,,,,LAON,,,,,,,,,,,
3.0,Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON,thierry batier,il y a 2 ans,4.0,,,,LAON,,,,,,,,,,,
4.0,Gendarmerie Nationale 30 avenue Charles de Gaulle 2000 LAON,Stanislas Fedor,il y a 2 ans,4.0,Trs bonne surprise  la suite dun dpassement dun bus de tourisme jai titiller la pdale de droiteet ce fut sans surprise que jai appercu dans mon rtroviseurs intrieur deux magnifiques motos dot de gyrophare bleu je me suis ,,,LAON,,,,,,,,,,,
1.0,Gendarmerie Nationale 7 rue Charlier 36000 CHATEAUROUX,Jules Trompeau,il y a 9 mois,1.0,Des vrai cowboy qui mon arrtez,46.8103,1.6911,CHATEAUROUX,,,,,,,,,,,
2.0,Gendarmerie Nationale 7 rue Charlier 36000 CHATEAUROUX,Andrea Taubert,il y a un an,5.0,Me faire arrter aujourdhui  Ardentes et rencontrer des jeunes gendarmes bienveillants et sympa voil a cest fait ,46.8103,1.6911,CHATEAUROUX,,,,,,,,,,,
1.0,Gendarmerie Nationale 33 rue du Colonel Arnaud Beltrame 89000 AUXERRE,Stef _,il y a un an,5.0,,,,AUXERRE,,,,,,,,,,,
2.0,Gendarmerie Nationale 33 rue du Colonel Arnaud Beltrame 89000 AUXERRE,Stéphane Gandour,il y a 2 ans,5.0,,,,AUXERRE,,,,,,,,,,,
1.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Alexandre Ramos,il y a 6 jours,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
1.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Alexandre Ramos,il y a 6 jours,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
1.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Alexandre Ramos,il y a 6 jours,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
1.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Alexandre Ramos,il y a 6 jours,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
2.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,gregory lamy,il y a 3 mois,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
2.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,gregory lamy,il y a 3 mois,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
2.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,gregory lamy,il y a 3 mois,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
2.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,gregory lamy,il y a 3 mois,5.0,,43.6045,1.444,TOULOUSE,,,,,,,,,,,
3.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Killian Gaillard,il y a un an,5.0,Trs bien reuRenseignements sur le recrutement la vie de gendarme et lavenir dans le mtier trs clair ,43.6045,1.444,TOULOUSE,,,,,,,,,,,
3.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Killian Gaillard,il y a un an,5.0,Trs bien reuRenseignements sur le recrutement la vie de gendarme et lavenir dans le mtier trs clair ,43.6045,1.444,TOULOUSE,,,,,,,,,,,
3.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Killian Gaillard,il y a un an,5.0,Trs bien reuRenseignements sur le recrutement la vie de gendarme et lavenir dans le mtier trs clair ,43.6045,1.444,TOULOUSE,,,,,,,,,,,
3.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Killian Gaillard,il y a un an,5.0,Trs bien reuRenseignements sur le recrutement la vie de gendarme et lavenir dans le mtier trs clair ,43.6045,1.444,TOULOUSE,,,,,,,,,,,
4.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Simon Lemoine,il y a un an,5.0,Trs bien accueilli et renseign,43.6045,1.444,TOULOUSE,,,,,,,,,,,
4.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Simon Lemoine,il y a un an,5.0,Trs bien accueilli et renseign,43.6045,1.444,TOULOUSE,,,,,,,,,,,
4.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Simon Lemoine,il y a un an,5.0,Trs bien accueilli et renseign,43.6045,1.444,TOULOUSE,,,,,,,,,,,
4.0,Gendarmerie Nationale 202 Av jean Rieux 31000 TOULOUSE,Simon Lemoine,il y a un an,5.0,Trs bien accueilli et renseign,43.6045,1.444,TOULOUSE,,,,,,,,,,,
1.0,Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY,Charlelie Blache,il y a 9 mois,2.0,Arrter en trottinette lectrique sans motif apparentAucune explication fournie sur les circonstances de linterpellationTest dalcoolmie et de drogue ralis sur place par 8 degrs en extrieur eux ,,,LE PUY EN VELAY,,,,,,,,,,,
2.0,Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY,Matthis Charrat,il y a un an,5.0,Personnel sympathique comprhensibleMerci  tous les gendarmes ,,,LE PUY EN VELAY,,,,,,,,,,,
3.0,Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY,Jean-luc Sabatier,il y a 2 ans,5.0,Personnels sympatiques,,,LE PUY EN VELAY,,,,,,,,,,,
4.0,Gendarmerie Nationale 21 rue du 86ème RI 43000 LE PUY EN VELAY,Stéphane Gandour,il y a 2 ans,5.0,,,,LE PUY EN VELAY,,,,,,,,,,,
1.0,Gendarmerie Nationale 2 rue Albert Bettannier 57000 METZ,Bernard Challamel,il y a un an,4.0,Bon accueil,49.1203,6.1778,METZ,,,,,,,,,,,
2.0,Gendarmerie Nationale 2 rue Albert Bettannier 57000 METZ,Arthur Medemblik,il y a un an,5.0,Des gendarmes trs humains et intresss nous ont permis de travailler sur notre projet Formula Student de la Metz Racing Team pendant prs dun mois tout le monde tait trs sympathique aidants et motivs  nous aider  bientt,49.1203,6.1778,METZ,,,,,,,,,,,
3.0,Gendarmerie Nationale 2 rue Albert Bettannier 57000 METZ,Tiffany Tmsi,il y a 2 ans,5.0,,49.1203,6.1778,METZ,,,,,,,,,,,
1.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,Laura Weibel,il y a 10 mois,1.0,,45.57,5.9118,CHAMBERY,,,,,,,,,,,
2.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,Roger Coulaud,il y a 11 mois,5.0,Agents de ltat trs polie  a lcoute des personnes,45.57,5.9118,CHAMBERY,,,,,,,,,,,
3.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,Didier NAUZE,il y a 11 mois,5.0,Service hyper comptent et un accueil trs chaleureux pour les victimes Venez ici pour dposer plainte plutt quau commissariat de police,45.57,5.9118,CHAMBERY,,,,,,,,,,,
4.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,fanny Monnot picard,il y a un an,5.0,,45.57,5.9118,CHAMBERY,,,,,,,,,,,
5.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,Tom,il y a un an,5.0,,45.57,5.9118,CHAMBERY,,,,,,,,,,,
6.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,galaway74,il y a 2 ans,1.0,,45.57,5.9118,CHAMBERY,,,,,,,,,,,
7.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,FREDERIC CONAN,il y a 2 ans,1.0,Jai faillit me faire renverser par une voiture devant 3 gendarmes ils ont pris la dfense du conducteur et mont dit que cest une petite erreure de la part du conducteur BRAVO les gendarmes  Si ctait un des leurs qui aurait t  ma ,45.57,5.9118,CHAMBERY,,,,,,,,,,,
8.0,Gendarmerie Nationale 28 rue de Sonnaz 73000 CHAMBERY,Jerome Pradere,il y a 2 ans,5.0,,45.57,5.9118,CHAMBERY,,,,,,,,,,,
1.0,Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON,Noémie Bauriey,il y a 7 mois,5.0,Trs bon accueil gendarme  lcoute et bienveillant qui sait dire les choses sans brusque de manire honnte trs polis merci pour votre travail,,,LA ROCHE SUR YON,,,,,,,,,,,
2.0,Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON,morgan jourdain,il y a 9 mois,5.0,,,,LA ROCHE SUR YON,,,,,,,,,,,
3.0,Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON,Isabelle Rioul,il y a 11 mois,1.0,Ce lieu est ferm au public manifestement,,,LA ROCHE SUR YON,127.0,Ce lieu est ferme au public manifestement,,lieu est ferme public manifestement,ferm manifest,3.0,il y a 11 mois,1.0,Ce lieu est ferme au public manifestement,1.0,appel_intervention
4.0,Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON,jean estrienafoutre,il y a un an,5.0,Contact tlphonique avec Aurelie pendant que jtais enfermer dans un supermarch Super cool merci de mavoir tenue compagnie pendant ce moment un peu stressant Si je passe dans le coin je ramnerais des biere  la brigade ,,,LA ROCHE SUR YON,,,,,,,,,,,
5.0,Gendarmerie Nationale 31 bld du Maréchal Leclerc 85000 LA ROCHE SUR YON,Keilly DJY,il y a un an,4.0,Accueil trs chaleureux malgr les cellules peu spacieuses on arrive quand mme  sendormir Le personnel pense  vous ramener une couverture quand vous nen avez pas et je pense que cest un plus Cela dit la nourriture au petit dej ,,,LA ROCHE SUR YON,,,,,,,,,,,
1.0,Gendarmerie Nationale 16 rue de Signeulx 41000 BLOIS,Gygyvg Uvvkvc,il y a 10 mois,1.0, ,,,BLOIS,128.0, ,,,,1.0,il y a 10 mois,1.0, ,1.0,appel_intervention
2.0,Gendarmerie Nationale 16 rue de Signeulx 41000 BLOIS,Stbann,il y a 2 ans,5.0,Trs agrable les GAV sont trs confortable,,,BLOIS,,,,,,,,,,,
1.0,Gendarmerie Nationale 102 av du général Leclerc 54000 NANCY,marie simonin,il y a un an,1.0,Refus dassistance auprs de un animal percutAucune considration face  un animal en grande souffranceNous avons trouv en ce dimanche un pauvre chat visiblement percut ayant pass ,48.6936,6.1846,NANCY,,,,,,,,,,,
2.0,Gendarmerie Nationale 102 av du général Leclerc 54000 NANCY,Lorenzo Krzywanski,il y a un an,1.0,Incomptence au plus haut point Refus de prise en charge dun animal accident et abandonn depuis la nuit ,48.6936,6.1846,NANCY,129.0,Incompetence au plus haut point Refus de prise en charge d un animal accident et abandonne depuis la nuit ,,incompetence plus haut point refus prise charge animal accident abandonne depuis nuit,haut refus charg accident abandon nuit,2.0,il y a un an,1.0,Incompetence au plus haut point Refus de prise en charge d un animal accident et abandonne depuis la nuit ,1.0,appel_intervention
1.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,AD TV,il y a 8 mois,5.0,Cellule niquel je recommande fort  ,,,EPINAL,,,,,,,,,,,
2.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Louis Nor,il y a un an,1.0,Cellules trs propre juste dommage que lon dois y rentrer en chaussettes personnelles trs gentil en dehors des auditions jai jamais connue un commissariat qui te laisser autant allez fumer pendant ta gav lol merci  vous les poulet,,,EPINAL,,,,,,,,,,,
3.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Elisa Dalidec,il y a un an,1.0,Bon voil c fait  de 5h que j attend une patrouille pour tapage nocturne et quand enfin une personne vient sortie de sa voiture et y et remonter directement sans avoir fait quoi que se soit    srieux ,,,EPINAL,130.0,5h que j attend une patrouille pour tapage nocturne et quand enfin une personne vient sortie de sa voiture et y et remonter directement sans avoir fait quoi que se soit,,que attend une patrouille pour tapage nocturne quand enfin une personne vient sortie voiture remonter directement sans avoir fait quoi que soit,attend patrouill tapag nocturn enfin vient sort voitur remont direct,3.0,il y a un an,1.0,5h que j attend une patrouille pour tapage nocturne et quand enfin une personne vient sortie de sa voiture et y et remonter directement sans avoir fait quoi que se soit,1.0,appel_intervention
4.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,alexandre carvajal (Paranormal Vosges 88),il y a un an,5.0,Courage  nos gendarmes,,,EPINAL,,,,,,,,,,,
5.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Gaetan Lecomte,il y a un an,5.0,Personnels trs gentil cellules de GAV trs propres repas digne d un etoil lit trs confortable avec couverture lgrement fine  mais un peu irritantes  Service du matin irrprochable  avec caf du style senseo mais manque petit ,,,EPINAL,,,,,,,,,,,
6.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Dadoo Jack-Hammer,il y a un an,5.0,Personnel fort sympathique compos dassistantes sociales assistantes maternellesPropret irrprochableCadre sympathique je recommande vivement,,,EPINAL,,,,,,,,,,,
7.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Cindy Brunet,il y a un an,4.0,Propret  revoir Pour le reste top trs accueillants  lcoute tout ce que lon attend de ce corps de mtier,,,EPINAL,,,,,,,,,,,
8.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Danielle MB,il y a 2 ans,5.0,,,,EPINAL,,,,,,,,,,,
